"Year","Ceremony","Category","Nominee","Film","Winner"
"2023","Golden Globes","Best Original Song","What Was I Made For? - Billie Eilish&Finneas OConnell","Barbie","Yes"
"2023","Golden Globes","Best Original Song","Dance the Night - Mark Ronson,Andrew Wyatt,Dua Lipa, andCaroline Ailin","Barbie","Nominee"
"2023","Golden Globes","Best Original Song","Road to Freedom - Lenny Kravitz","Rustin","Nominee"
"2023","Golden Globes","Best Original Song","Addicted to Romance - Bruce Springsteen","She Came to Me","Nominee"
"2023","Golden Globes","Best Original Song","Peaches - Jack Black,Aaron Horvath,Michael Jelenic, Eric Osmond, andJohn Spiker","The Super Mario Bros. Movie","Nominee"
"2023","Oscars","Best Original Score","Ludwig Göransson","Oppenheimer","Yes"
"2023","Oscars","Best Original Score","Laura Karpman","American Fiction","Nominee"
"2023","Oscars","Best Original Score","John Williams","Indiana Jones and the Dial of Destiny","Nominee"
"2023","Oscars","Best Original Score","Robbie Robertson(p.n.)","Killers of the Flower Moon","Nominee"
"2023","Oscars","Best Original Score","Jerskin Fendrix","Poor Things","Nominee"
"2023","Oscars","Best Original Song","What Was I Made For? - Billie Eilish&Finneas OConnell(music & lyrics)","Barbie","Yes"
"2023","Oscars","Best Original Song","It Never Went Away - Jon Batiste&Dan Wilson(music & lyrics)","American Symphony","Nominee"
"2023","Oscars","Best Original Song","Im Just Ken - Mark Ronson&Andrew Wyatt(music & lyrics)","Barbie","Nominee"
"2023","Oscars","Best Original Song","The Fire Inside - Diane Warren(music & lyrics)","Flamin Hot","Nominee"
"2023","Oscars","Best Original Song","Wahzhazhe (A Song for My People) - Scott George(music & lyrics)","Killers of the Flower Moon","Nominee"
"2022","BAFTA","Best Sound","Lars Ginzel,Frank Kruse,Viktor PrášilandMarkus Stemler","All Quiet on the Western Front","Yes"
"2022","BAFTA","Best Sound","Christopher Boyes,Michael Hedges,Julian Howarth,Gary SummersandGwendolyn Yates Whittle","Avatar: The Way of Water","Nominee"
"2022","BAFTA","Best Sound","Michael Keller,David Lee,Andy NelsonandWayne Pashley","Elvis","Nominee"
"2022","BAFTA","Best Sound","Deb Adair, Stephen Griffiths andy Shelley, Steve Single and Roland Winke","Tár","Nominee"
"2022","BAFTA","Best Sound","Chris Burdon,James H. Mather,Al Nelson,Mark TaylorandMark Weingarten","Top Gun: Maverick","Nominee"
"2022","Critics Choice","Best Score","Hildur Guðnadóttir","Tár","Yes"
"2022","Critics Choice","Best Score","Alexandre Desplat","Guillermo del Toros Pinocchio","Nominee"
"2022","Critics Choice","Best Score","Michael Giacchino","The Batman","Nominee"
"2022","Critics Choice","Best Score","Hildur Guðnadóttir","Women Talking","Nominee"
"2022","Critics Choice","Best Score","Justin Hurwitz","Babylon","Nominee"
"2022","Critics Choice","Best Score","John Williams","The Fabelmans","Nominee"
"2022","Critics Choice","Best Song","Naatu Naatu - Written byM. M. Keeravani&Chandrabose; Performed byRahul Sipligunj&Kaala Bhairava","RRR","Yes"
