film_vote_count,film_popularity,film_budget,film_revenue,film_rating,days_since_film_release,film_runtime_min,film_is_action,film_is_adventure,film_is_animation,film_is_comedy,film_is_crime,film_is_documentary,film_is_drama,film_is_family,film_is_fantasy,film_is_history,film_is_horror,film_is_music,film_is_mystery,film_is_romance,film_is_science_fiction,film_is_tv_movie,film_is_thriller,film_is_war,film_is_western,days_since_album_release,n_tracks,composer_album_count,ambient_experimental,classical_orchestral,electronic,hip_hop_rnb,pop,rock,world_folk,us_score_nominee_count,us_song_nominee_count,bafta_nominee,log_lfm_album_listeners
5893,12.1661,40000000,103966489,7.589,1745,119,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1730.0,25.0,5,0,0,0,0,0,0,0,0,0,0,7.0707241072602764
10956,12.0308,200000000,379751131,7.182,1669,134,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,26.0,30,0,1,0,0,0,0,0,0,0,0,2.19722457733622
10557,11.1217,70000000,0,8.1,1780,242,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,54.0,22,0,0,0,0,0,0,0,0,0,0,2.995732273553991
9497,11.0177,110000000,331526598,7.458,1634,115,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,20.0,17,0,0,0,0,0,0,0,0,0,0,2.19722457733622
9999,10.7981,150000000,261292688,7.576,1571,102,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,1534.0,44.0,4,1,1,0,0,1,0,1,2,3,0,5.389071729816501
3935,9.8698,200000000,14400000,7.485,1611,138,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,20.0,30,0,0,0,0,0,0,0,0,0,0,7.103322062526113
8902,9.5745,236200000,402064899,6.786,1550,156,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,20.0,8,0,0,0,0,0,0,0,0,0,0,3.970291913552122
6387,9.2543,39000000,206444123,7.372,1712,111,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,,24.0,13,0,0,0,0,0,0,0,0,0,0,6.594413459749778
2615,8.7103,25000000,41914915,5.9,1529,107,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1534.0,14.0,7,0,0,0,0,0,0,0,0,0,0,1.6094379124341005
4681,8.5187,85000000,408402685,7.835,1522,110,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,23.0,3,0,0,0,0,0,0,0,0,0,0,2.19722457733622
6163,6.2013,20000000,84426031,6.999,1760,110,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,24.0,20,0,0,0,0,0,0,0,0,0,0,9.19593714166544
4913,6.0444,100000000,125897478,6.723,1501,131,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,24.0,8,0,0,0,0,0,0,0,0,0,0,1.0986122886681098
2867,5.5095,25000000,46333545,7.01,1563,108,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,14.0,20,0,0,0,0,0,0,0,0,0,0,2.995732273553991
2654,5.1798,82000000,146745280,7.337,1675,107,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,27.0,23,0,0,0,0,0,0,0,0,0,0,3.1354942159291497
3706,5.1602,100000000,30552111,7.412,1571,153,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,21.0,15,0,0,0,0,0,0,0,0,0,0,2.833213344056216
2051,5.0831,0,0,6.578,1605,106,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1663.0,15.0,15,0,0,0,0,0,0,0,0,0,0,1.3862943611198906
2334,4.8341,60000000,0,6.358,1794,108,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1856.0,9.0,1,0,0,0,0,0,0,0,0,0,0,7.558516743045645
