artist_id,artist_mbid,name,sort_name,artist_type,gender,artist_comment,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,area_name,area_mbid,begin_area_name,begin_area_mbid,end_area_name,end_area_mbid,aliases_text,artist_tags_text,isni_text,ipi_text,film_ct_in_spine,soundtrack_release_group_ct_in_spine,electronic_producer,jazz_traditional,media_composer_orchestral,pop_vocalist,rock_artist_band,world_folk_regional,award_year,oscar_score_nominee,oscar_score_winner,oscar_song_nominee,oscar_song_winner,globes_score_nominee,globes_score_winner,globes_song_nominee,globes_song_winner,critics_score_nominee,critics_score_winner,critics_song_nominee,critics_song_winner,bafta_score_nominee,bafta_score_winner
105794,4586db61-284f-42dd-9b19-69111ea08149,Shaan,Shaan,Person,Male,Indian singer Shantanu Mukherjee,1972.0,9.0,30.0,,,,India,d31a9a15-537f-3669-ad53-25753ddd2772,Madhya Pradesh,48adc76b-4299-4b06-bbd5-d1d0e3b98469,,,"Shann | Shantanu | Shantanu Mukherjee | shan(india,singer)",filmi | indian pop | singer-songwriter,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1376595,c674af71-e274-45ba-be00-2f4cb3735349,Mannan Shah,"Shah, Mannan",Person,Male,,,,,,,,India,d31a9a15-537f-3669-ad53-25753ddd2772,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1734133,a6a90402-7747-4c70-b25a-9170302f29b8,Ghoulnoise,Ghoulnoise,Person,Female,Priscilla Snow,,,,,,,United States,489ce91b-6658-3307-9877-795b68554c98,United States,489ce91b-6658-3307-9877-795b68554c98,,,Priscilla Snow,vgm | video game music,,,1,1,False,False,True,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2249234,989cdc5b-303f-4ffb-b26b-74e05f6b55b0,Sadie Sink,"Sink, Sadie",Person,Female,,2002.0,4.0,16.0,,,,United States,489ce91b-6658-3307-9877-795b68554c98,Brenham,58750a0f-05fb-4dbd-8015-f214de7a56f3,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1502785,6bd2f3ae-5d30-4c05-a5ab-4dc8bf9d43ae,Anton Yelchin,"Yelchin, Anton",Person,Male,,1989.0,3.0,11.0,2016.0,6.0,19.0,United States,489ce91b-6658-3307-9877-795b68554c98,Sankt-Peterburg,808e1ef8-5390-4300-a615-c4df977cc349,Studio City,e697234a-07cb-4bea-8f22-8419bdf5cf6b,,27 club | alternative | alternative rock | anton yelchin | indie | indie rock | kat dennings | punk | punk rock | rock | the hammerheads,,,1,1,False,False,False,False,True,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1271851,4b5b1ef6-0611-44ea-a6f4-c426dba2fc78,Ryan Elder,"Elder, Ryan",Person,Male,,,,,,,,United States,489ce91b-6658-3307-9877-795b68554c98,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
747285,47e61838-f532-451c-9a10-144087705a65,Toshi Sabri,"Sabri, Toshi",Person,Male,,,,,,,,Jaipur,940c7845-c2e8-440d-8103-1b803f5139ca,,,,,Toshi,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2839882,d8a8d427-a83f-4f60-bec4-77ed7828f765,Basil Joseph,"Joseph, Basil",,Male,,,,,,,,,,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2233195,1764c58d-bb83-4cae-8bba-49ac4a79cdbb,Tóti Guðnason,Tóti Guðnason,Person,Male,,,,,,,,,,,,,,,,,,2,2,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
182453,eb3b1bbc-e6f7-4227-83b9-30d38dc406c7,Guy Farley,"Farley, Guy",Person,,,1963.0,2.0,5.0,,,,,,,,,,,classical | modern,,,3,3,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
